PassengerId,Survived_pred,Survived_prob
892,0,0.13968797579743036
893,1,0.7323618663309498
894,0,0.1978456347018831
895,0,0.12131191180256123
896,0,0.4960930750143983
897,0,0.12131191180256123
898,1,0.7209891311994865
899,0,0.1510430040133493
900,1,0.7401129003849499
901,0,0.10307241262167571
902,0,0.12131191180256123
903,0,0.22531483543175515
904,1,0.9268160741835904
905,0,0.20921199747807045
906,1,0.9117092074014164
907,1,0.9248765703549339
908,0,0.16722749293038866
909,0,0.1626182852976645
910,0,0.4776977664065822
911,1,0.6547281450415304
912,0,0.3798562459689945
913,0,0.24510892523160582
914,1,0.9154022606478129
915,0,0.42293433069036224
916,1,0.9536053795849004
917,0,0.07678146726949332
918,1,0.9527904547978815
919,0,0.1626182852976645
920,0,0.28908988604772495
921,0,0.1693842543218522
922,0,0.14131337251969397
923,0,0.13669963449074568
924,1,0.5425004994066579
925,0,0.4770598558503258
926,0,0.4138822715293254
927,0,0.1626182852976645
928,0,0.49617748562657527
929,0,0.4801306064937907
930,0,0.12131191180256123
931,0,0.28892589559709053
932,0,0.13882318850447972
933,0,0.2700314984766985
934,0,0.11284507763660712
935,1,0.8779027316120656
936,1,0.9489191100388953
937,0,0.12131191180256123
938,0,0.2531458284278922
939,0,0.14802364225190748
940,1,0.9452608599276744
941,1,0.5844925166163112
942,0,0.35565748081819104
943,0,0.13520584521805798
944,1,0.8653478286315688
945,1,0.7493669230799759
946,0,0.20651387498330695
947,0,0.10374501633886944
948,0,0.12637205712865246
949,0,0.12131191180256123
950,0,0.13661597803653605
951,1,0.9571578658084546
952,0,0.12131191180256123
953,0,0.1546169333675407
954,0,0.12131191180256123
955,1,0.7309547809077926
956,0,0.416701896248247
957,1,0.8946651205066158
958,1,0.574231652082372
959,0,0.18762406604384402
960,0,0.32924407123358934
961,1,0.6749539620048951
962,1,0.5898551408276818
963,0,0.12131191180256123
964,0,0.49617748562657527
965,0,0.3205599398147013
966,1,0.948423569738162
967,0,0.39169264581719865
968,0,0.12131191180256123
969,1,0.9190549005338071
970,0,0.13554789019405744
971,1,0.5898551408276818
972,1,0.8286538921612044
973,0,0.21259559043262968
974,0,0.25493878027843914
975,0,0.12131191180256123
976,0,0.16678335949089718
977,0,0.13445748845751593
978,1,0.5898551408276818
979,0,0.4801306064937907
980,1,0.5898551408276818
981,1,0.7572638695780719
982,0,0.4802063957656611
983,0,0.12131191180256123
984,1,0.891592475322399
985,0,0.12131191180256123
986,0,0.3205599398147013
987,0,0.12131191180256123
988,1,0.8800336426041975
989,0,0.12131191180256123
990,0,0.4801306064937907
991,0,0.12637205712865246
992,1,0.9724494837758115
993,0,0.1510430040133493
994,0,0.14802364225190748
995,0,0.12131191180256123
996,1,0.5961938777600023
997,0,0.14143458769346182
998,0,0.14802364225190748
999,0,0.14802364225190748
1000,0,0.12131191180256123
1001,0,0.13554789019405744
1002,0,0.13016447060456612
1003,1,0.5898551408276818
1004,1,0.9433791807282078
1005,1,0.7181377725235347
1006,1,0.9140833481704762
1007,0,0.13445748845751593
1008,0,0.0854348858057222
1009,1,0.8469904345624646
1010,0,0.423713704142101
1011,1,0.8874871960135874
1012,1,0.8977001696837721
1013,0,0.14965774694731274
1014,1,0.9536278223687428
1015,0,0.12131191180256123
1016,0,0.14802364225190748
1017,1,0.5242609296325715
1018,0,0.12131191180256123
1019,1,0.5935174942457316
1020,0,0.144026122492972
1021,0,0.12131191180256123
1022,0,0.13869955477565885
1023,0,0.28019029684386787
1024,0,0.13629336260447178
1025,0,0.08644815181935199
1026,0,0.11284507763660712
1027,0,0.12131191180256123
1028,0,0.1626182852976645
1029,0,0.13554789019405744
1030,0,0.49617748562657527
1031,0,0.026570081597791506
1032,0,0.09907097018203524
1033,1,0.9330200028068836
1034,0,0.4267422809844613
1035,0,0.15627836535974016
1036,0,0.28415637393587084
1037,0,0.4229013772526575
1038,0,0.2270528879448608
1039,0,0.12131191180256123
1040,0,0.2700314984766985
1041,0,0.1510430040133493
1042,1,0.9527904547978815
1043,0,0.1626182852976645
1044,0,0.07968442052967188
